"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CNKSR1",8.09467923111074e-06,0.670800335569646,0.05,0.015,0.304829430485168,"CNKSR1"
"GNB1L",8.12572811834412e-06,0.309419695586617,0.214,0.134,0.305998669480603,"GNB1L"
"TMEM136",8.1597751991267e-06,-0.376576090821779,0.837,0.641,0.307280814448713,"TMEM136"
"C17orf102",8.16059433321642e-06,0.413205071145292,0.087,0.038,0.307311661400264,"C17orf102"
"NHP2L1",8.18692555603469e-06,0.262216575520807,0.905,0.882,0.308303242589154,"NHP2L1"
"CAPZB",8.20908067050509e-06,0.42660376992315,0.873,0.774,0.309137559889881,"CAPZB"
"CELF4",8.22717985793769e-06,1.68904680355953,0.051,0.016,0.309819139090218,"CELF4"
"CCBP2",8.28385412883051e-06,-0.292374431802996,0.667,0.458,0.311953378783499,"CCBP2"
"PTPRG",8.49603944504e-06,0.310795612417811,0.38,0.269,0.319943853421316,"PTPRG"
"TPTE2",8.50951019887781e-06,0.754753068344007,0.096,0.044,0.32045113506934,"TPTE2"
"C12orf23",8.56247610316898e-06,0.278628413508072,0.64,0.483,0.322445725093138,"C12orf23"
"LINC00333",8.62441515498426e-06,0.826827411180313,0.02,0.001,0.324778225906397,"LINC00333"
"SCPEP1",8.64191582023399e-06,-0.666178709102493,0.504,0.568,0.325437265958371,"SCPEP1"
"ASNS",8.70320409603099e-06,0.551417722317109,0.198,0.123,0.327745259848335,"ASNS"
"CT45A4",8.70648740589313e-06,2.08553460526489,0.02,0.001,0.327868902731123,"CT45A4"
"CLUHP3",8.76027793136102e-06,-2.24986051671229,0.052,0.108,0.329894546339193,"CLUHP3"
"ZNF143",8.77200980375403e-06,0.464446417297067,0.244,0.16,0.330336345189769,"ZNF143"
"TUT1",8.82989304271447e-06,0.34075092041099,0.408,0.304,0.332516112202542,"TUT1"
"FXYD1",8.83816514326618e-06,0.417500441523638,0.069,0.026,0.332827622965118,"FXYD1"
"EFNA5",8.85098760983696e-06,-0.905566854073449,0.364,0.449,0.33331049141124,"EFNA5"
"GRIN2D",8.85266272645023e-06,1.44655642130059,0.046,0.013,0.333373572952663,"GRIN2D"
"ZNF517",8.86209394241447e-06,-0.36610949220079,0.243,0.148,0.333728733683444,"ZNF517"
"ZNF44",8.87716733246832e-06,-0.293824657307547,0.367,0.242,0.334296367406092,"ZNF44"
"NFATC3",8.96927080613807e-06,0.307197924862542,0.418,0.305,0.337764800017548,"NFATC3"
"CCDC94",8.99429257024386e-06,0.624032903373094,0.291,0.202,0.338707069610243,"CCDC94"
"MMP11",9.07475796372066e-06,1.45287175688388,0.08,0.034,0.341737235397793,"MMP11"
